id,中文名,英文名,类别,阵营,等级,正典,纬度,东经,西经,SpaceEngine,MOLA高程_m,2100状态,最近水体,离水_km,定位方法,规则,依附,正典描述,出处,旧纬度,旧东经,较旧坐标偏移_km
aralqi,Aralqi,Aralqi,城镇,锈色中国,3,正文+地图,8.423,247.246,112.754,GoTo { Lat 8.423 Lon -112.754 HeightKm 0 },1564,陆地,—,>1500,IAU 官方中心,iau:Poynting,Poynting 陨坑（Pavonis 以北、Ascraeus 以西）,,ITW p.23,4.0,253.0,429
rizhao,日照,Rizhao,城镇,锈色中国（按命名推断）,3,仅地图,2.000,250.000,110.000,GoTo { Lat 2.000 Lon -110.000 HeightKm 0 },5633,陆地,—,>1500,正典图目测,map:2;250,Ascraeus Mons 东南,,p19 图,2.0,250.0,0
heze,菏泽,Heze,城镇,锈色中国（按命名推断）,3,仅地图,-5.000,236.000,124.000,GoTo { Lat -5.000 Lon -124.000 HeightKm 0 },4946,陆地,—,>1500,正典图目测,map:-5;236,Arsia Mons 以西,,p19 图,-5.0,236.0,0
as_sulaymi,As Sulaymi,As Sulaymi,城镇,沙特,3,正文+地图,-14.700,233.600,126.400,GoTo { Lat -14.700 Lon -126.400 HeightKm 0 },5034,陆地,—,>1500,正典图目测,map:-14.7;233.6,Daedalia Planum，Arsia 以南,沙特游牧者建立的商旅交汇点、次级太空港,ITW p.26 · p19 图,-14.7,233.6,0
liangzhen,Liangzhen,Liangzhen,城镇,锈色中国,2,正文+地图,25.203,209.828,150.172,GoTo { Lat 25.203 Lon -150.172 HeightKm 0 },-3578,陆地,北方海,2,真实岸线吸附,shore:borealis:ANY:25;210,北方海岸，Olympus Mons 以西；锈色中国西部边界,居民觉得被政府抛弃，一直争取修铁路支线（没有支线）,ITW p.23,25.0,205.0,259
oita,大分,Oita,城镇,日本（按命名推断）,3,仅地图,25.547,196.234,163.766,GoTo { Lat 25.547 Lon -163.766 HeightKm 0 },-3676,陆地,北方海,2,真实岸线吸附,shore:borealis:W:28;196,Amazonis 湾西岸,,p19 图,28.0,196.0,146
albor_home,阿尔博尔山顶独居庄园,Albor Tholus summit home,庄园,火星百万富翁,3,正文,18.645,150.121,209.879,GoTo { Lat 18.645 Lon 150.121 HeightKm 0 },3923,陆地,北方海,856,MOLA 峰顶,summit:Albor Tholus,Albor Tholus 峰顶,一位富豪的单人住宅,ITW p.47,,,
urumqi,乌鲁木齐,Urumqi,城镇,锈色中国（按命名推断）,3,仅地图,-11.700,252.900,107.100,GoTo { Lat -11.700 Lon -107.100 HeightKm 0 },6277,陆地,水手峡谷海·Ius 段,1330,正典图目测,map:-11.7;252.9,诺克提斯迷宫西南,,p22 图,-11.7,252.9,0
ge_gyai,革吉,Ge'gyai,城镇,锈色中国,3,正文+地图,-7.691,258.191,101.809,GoTo { Lat -7.691 Lon -101.809 HeightKm 0 },5119,陆地,水手峡谷海·Ius 段,1005,MOLA 谷底,floor:-8.7;258.1;60,诺克提斯迷宫中的一条谷地,农业，专攻果树，产好葡萄酒与苹果酒,ITW p.23,-8.7,258.1,60
wudu,武都,Wudu,城镇,锈色中国,2,正文+地图,-12.088,256.100,103.900,GoTo { Lat -12.088 Lon -103.900 HeightKm 0 },6666,陆地,水手峡谷海·Ius 段,1152,IAU 官方中心,iau:Syria Planum,Syria Planum，诺克提斯以南,小麦带核心；「新中国」活动中心，十二局特工云集,ITW p.23,-12.1,256.6,29
guxiang,故乡,Guxiang,遗址,锈色中国,2,正文+地图,-1.700,260.600,99.400,GoTo { Lat -1.700 Lon -99.400 HeightKm 0 },5898,陆地,水手峡谷海·Ius 段,924,正典图目测,map:-1.7;260.6,诺克提斯北缘台地（正典图）,中国第一个火星基地,ITW p.9 · p22 图,-1.7,260.6,0
haiyuan,海源城,Haiyuan City,城市,锈色中国,1,正文+地图,-9.104,268.981,91.019,GoTo { Lat -9.104 Lon -91.019 HeightKm 0 },3690,陆地,水手峡谷海·Ius 段,390,IAU 地貌边缘,iau_edge:Oudemans:NE,Oudemans 陨坑东北缘；提托尼乌姆湖在其北,锈色中国首府，梯田港城，十二局总部,ITW p.22–23,-9.8,268.2,62
nantong,南通,Nantong,城镇,锈色中国（按命名推断）,3,新闻+地图,2.472,280.038,79.962,GoTo { Lat 2.472 Lon -79.962 HeightKm 0 },-822,陆地,水手峡谷海·中段,216,IAU 官方中心,iau:Echus Chasma,Echus River（Echus Chasma）；卡塞谷的源头,2100 年 12 月 18 日电头；劫道土匪的藏身处在南通周边的崎岖地带,p19 图 · Teralogos News 2100 Q4,10.0,278.0,462
hanggin_qi,杭锦旗,Hanggin Qi,城镇,锈色中国,2,正文+地图,-7.016,276.984,83.016,GoTo { Lat -7.016 Lon -83.016 HeightKm 0 },-2254,陆地,水手峡谷海·Ius 段,3,真实岸线吸附,shore:marineris_ius:N:-6.8;277.0,水手峡谷海北岸，Ius 段,矿业城镇，硝酸盐与铂；尾矿把褐色的海水都染了色,ITW p.23,-7.9,274.5,155
harbin,哈尔滨,Harbin,城镇,锈色中国（按命名推断）,3,仅地图,-8.609,285.734,74.266,GoTo { Lat -8.609 Lon -74.266 HeightKm 0 },-2816,陆地,水手峡谷海·中段,2,真实岸线吸附,shore:marineris_mid:S:-9.5;283.8,Ius 船闸与 Melas 之间的南岸,,p22 图,-15.6,280.0,531
bako,巴科,Bako,城镇,非洲（埃塞俄比亚）,2,正文+地图,-6.234,286.891,73.109,GoTo { Lat -6.234 Lon -73.109 HeightKm 0 },-3302,陆地,水手峡谷海·中段,3,真实岸线吸附,shore:marineris_mid:W:-6.0;286.0,坎多尔湖西岸,火星非洲人中心；本土软件业 80% 出自这里,ITW p.26,-6.5,284.5,142
port_lowell,洛厄尔港,Port Lowell,城市,企业（MDC）,1,正文+地图,-6.984,288.828,71.172,GoTo { Lat -6.984 Lon -71.172 HeightKm 0 },-3486,陆地,水手峡谷海·中段,3,真实岸线吸附,shore:marineris_mid:E:-7.8;289.6,坎多尔湖东南岸（湖口，濒 Melas）,企业城邦，租地给各国；欧洲人最集中,"ITW p.23, 26",-11.1,289.7,249
vlore,发罗拉,Vlore,城镇,欧盟（按命名推断）,3,仅地图,-6.797,293.597,66.403,GoTo { Lat -6.797 Lon -66.403 HeightKm 0 },-1126,陆地,水手峡谷海·中段,11,岸线 + 距离,inland:marineris_mid:E:-6.4;293.4:25,坎多尔湖以东的台地，铁路经过,,p22 图,-9.2,294.5,152
santo_tomas,圣托马斯,Santo Tomas,城镇,火星联邦（美）,2,正文+地图,-11.953,288.766,71.234,GoTo { Lat -11.953 Lon -71.234 HeightKm 0 },-3287,陆地,水手峡谷海·中段,3,真实岸线吸附,shore:marineris_mid:S:-13.0;288.2,水手峡谷海南岸，Nia Fossae 一带,造船城；常处在南侧崖壁的阴影里,ITW p.25,-17.8,288.0,349
fortuna,福尔图纳,Fortuna,城镇,火星联邦（按命名推断）,3,仅地图,-13.078,301.266,58.734,GoTo { Lat -13.078 Lon -58.734 HeightKm 0 },-3175,陆地,水手峡谷海·中段,3,真实岸线吸附,shore:marineris_mid:N:-12.0;301.6,Coprates 北岸,,p22 图,-14.7,301.6,98
chester,切斯特栖息地,Chester Habitat,城镇,火星联邦（美）,2,正文+地图,-10.456,301.797,58.203,GoTo { Lat -10.456 Lon -58.203 HeightKm 0 },2939,陆地,水手峡谷海·中段,161,岸线 + 距离,inland:marineris_mid:N:-11.5;302.2:161,水手峡谷以北 100 英里，Ophir Planum,农户集会地；赤道铁路穿镇而过，粮食在此装车,ITW p.24,-12.2,303.9,160
robinson,罗宾逊城,Robinson City,城市,火星联邦（美）,1,正文+地图,-14.547,317.297,42.703,GoTo { Lat -14.547 Lon -42.703 HeightKm 0 },-3183,陆地,厄俄斯湖,2,相对闸坝的岸线吸附,ref_shore:marineris_eos:N:capri_dam:-0.7,厄俄斯湖北岸，Capri 大坝以西,穹顶城市；美方最大栖息地,ITW p.24,-9.8,311.1,456
plymouth,普利茅斯,Plymouth,遗址,火星联邦（美）,2,正文+地图,-16.859,316.016,43.984,GoTo { Lat -16.859 Lon -43.984 HeightKm 0 },810,陆地,厄俄斯湖,33,峡谷崖顶,rim:marineris_eos:S:-16.0;316.0,水手峡谷东端以南，俯瞰厄俄斯峡谷,美国第一个火星基地；Frank Roth 出生地,ITW p.9–10,-18.9,306.2,567
burroughs,巴勒斯火星历史博物馆,Burroughs Museum of Martian History,设施,火星联邦（美）,3,正文,-16.859,315.980,44.020,GoTo { Lat -16.859 Lon -44.020 HeightKm 0 },794,陆地,厄俄斯湖,33,相对定位,near:plymouth:W:2,普利茅斯,火星最大的综合性公共博物馆,ITW p.58,,,
anchorage,安克雷奇,Anchorage,城镇,火星联邦（按命名推断）,3,仅地图,-16.016,317.547,42.453,GoTo { Lat -16.016 Lon -42.453 HeightKm 0 },-3157,陆地,厄俄斯湖,2,真实岸线吸附,shore:marineris_eos:S:-16.0;317.6,厄俄斯湖南岸，Eos 大坝以南,,p22 图,-17.1,315.8,118
red_lake,红湖,Red Lake,城镇,火星联邦（美）,2,正文+地图,-6.391,319.536,40.464,GoTo { Lat -6.391 Lon -40.464 HeightKm 0 },1355,陆地,北方海,74,IAU 地貌边缘,iau_edge:Innsbruck:W,Innsbruck 陨坑湖西岸,水产与海带养殖；湖与主河道之间有围隔,ITW p.25,-5.6,314.7,289
fort_meier,迈尔堡,Fort Meier,军事,火星联邦（美陆军）,2,正文,-5.800,319.536,40.464,GoTo { Lat -5.800 Lon -40.464 HeightKm 0 },1506,陆地,北方海,108,相对定位,near:red_lake:N:35,紧邻红湖城外（方位与距离为推定，制图上与红湖符号错开）,美国陆军游骑兵驻火星部队,"ITW p.25, 46",,,
timbuktu,廷巴克图,Timbuktu,城镇,火星联邦（美）,3,正文+地图,-5.560,322.476,37.524,GoTo { Lat -5.560 Lon -37.524 HeightKm 0 },-1540,陆地,北方海,30,IAU 官方中心,iau:Timbuktu,赞西高地内同名陨坑,科研社区，粮食作物遗传学；Burton 总督的中学母校,ITW p.25,-2.6,315.2,465
zhigansk,日甘斯克,Zhigansk,城市,独立（原俄罗斯）,2,正文+地图,21.141,313.484,46.516,GoTo { Lat 21.141 Lon -46.516 HeightKm 0 },-3691,陆地,北方海,3,真实岸线吸附,shore:borealis:ANY:19;311,赞西高地北部，北方海畔,2064 年火星第一个宣布独立的殖民地；Free Mars 大本营,ITW p.24,20.0,310.0,205
sharona,沙罗纳,Sharona,城镇,火星联邦（美）,2,正文+地图,27.841,301.470,58.530,GoTo { Lat 27.841 Lon -58.530 HeightKm 0 },586,陆地,北方海,407,IAU 地貌边缘,iau_edge:Sharonov:N,Sharonov 湾（原 Sharonov 陨坑）坑壁,运冰机终点、北方海水文研究中心；房子每几年往坑壁上搬一次,ITW p.25,27.3,301.5,32
new_amsterdam,新阿姆斯特丹,New Amsterdam,城镇,荷兰,3,正文+地图,15.641,317.828,42.172,GoTo { Lat 15.641 Lon -42.172 HeightKm 0 },-3690,陆地,北方海,2,真实岸线吸附,shore:borealis:ANY:15.7;318.0,Shalbatan 河（Shalbatana Vallis）河口,几百人，制药与生物技术实验室,ITW p.26,13.0,317.0,164
rockwood,罗克伍德,Rockwood,城镇,火星联邦（按命名推断）,3,仅地图,18.016,323.141,36.859,GoTo { Lat 18.016 Lon -36.859 HeightKm 0 },-3665,陆地,北方海,2,真实岸线吸附,shore:borealis:S:18;323,克律塞湾南岸（东段）,,p19 图,15.0,315.0,496
shibetsu,士别,Shibetsu,城镇,日本,3,正文+地图,10.292,334.392,25.608,GoTo { Lat 10.292 Lon -25.608 HeightKm 0 },-3742,陆地,北方海,315,IAU 官方中心,iau:Ares Vallis,Ares Vallis，赞西高地以东,清品公司火星车工厂；牛排馆口碑好,ITW p.26,10.4,334.0,24
dayville,戴维尔,Dayville,城镇,火星联邦（按命名推断）,3,仅地图,36.297,346.484,13.516,GoTo { Lat 36.297 Lon -13.516 HeightKm 0 },-3455,陆地,北方海,1,正典图位置（落水则吸附到岸）,wet_snap:borealis:40;337,Acidalia Planitia,,p19 图,40.0,337.0,493
christiana,克里斯蒂安娜,Christiana,城镇,火星联邦/北欧（按命名推断）,3,仅地图,-13.000,337.000,23.000,GoTo { Lat -13.000 Lon -23.000 HeightKm 0 },-2110,陆地,北方海,457,正典图目测,map:-13;337,Margaritifer Terra,,p19 图,-13.0,337.0,0
viking1,维京公园·海盗 1 号着陆点,Viking Park / Viking 1 Lander,遗址,火星联邦（美）,2,正文,22.697,311.813,48.187,GoTo { Lat 22.697 Lon -48.187 HeightKm 0 },-3622,陆地,北方海,47,精确坐标,point:22.697;311.813,克律塞平原,禁止开发的公园；美方正在修堤防海,ITW p.26,22.697,311.813,0
sagan,卡尔·萨根纪念站（火星探路者）,Carl Sagan Memorial Station,遗址,火星联邦（美）,3,正文,19.130,326.790,33.210,GoTo { Lat 19.130 Lon -33.210 HeightKm 0 },-3682,陆地,北方海,3,精确坐标,point:19.13;326.79,阿瑞斯谷口,维京公园的第二处遗址,ITW p.26,19.13,326.79,0
kasei,卡塞谷（劫道土匪出没区）,Kasei Valles,区域,—,3,正文,25.136,297.122,62.878,GoTo { Lat 25.136 Lon -62.878 HeightKm 0 },-2086,陆地,北方海,648,IAU 官方中心,iau:Kasei Valles,Kasei Valles,2100 年 12 月：土匪劫掠地面运输车队、袭击沙特商队 Beni Khasim；美方兼职法警追踪、陆军游骑兵抓捕,Teralogos News 2100 Q4,,,
peru_core,秘鲁殖民地核心区,Peruvian colony core,区域,秘鲁,2,正文+地图,25.000,140.000,220.000,GoTo { Lat 25.000 Lon 140.000 HeightKm 0 },608,陆地,北方海,180,正典图目测,map:25;140,Elysium（西坡）,人口个位数百分比，却主导伊利瑟姆与火星大众文化,ITW p.48–49,25.0,140.0,0
moyobamba,莫约班巴,Moyobamba,城市,秘鲁,2,正文+地图,29.359,136.547,223.453,GoTo { Lat 29.359 Lon 136.547 HeightKm 0 },-3694,陆地,北方海,2,真实岸线吸附,shore:borealis:ANY:34;124.5,Granicus Valles 注入北方海处,生物地球化设施；火星最好的动物园与植物园,ITW p.48,30.0,130.0,339
stygis,冥河城,Stygis Ciudad,城市,秘鲁,2,正文+地图,30.000,150.000,210.000,GoTo { Lat 30.000 Lon 150.000 HeightKm 0 },-1198,陆地,北方海,208,正典图目测,map:30;150,伊利瑟姆，Hecates Tholus 一带,托管马丘比丘虚拟重建——火星最受欢迎的虚拟世界,ITW p.48,30.0,150.0,0
ica_nova,新伊卡,Ica Nova,城镇,秘鲁（按命名推断）,3,仅地图,18.000,150.000,210.000,GoTo { Lat 18.000 Lon 150.000 HeightKm 0 },1346,陆地,北方海,863,正典图目测,map:18;150,Albor Tholus 旁,,p20 图,18.0,150.0,0
escalante,埃斯卡兰特站,Escalante Station,设施,火星联邦（美）,2,正文+地图,0.193,115.392,244.608,GoTo { Lat 0.193 Lon 115.392 HeightKm 0 },-942,陆地,北方海,1187,IAU 官方中心,iau:Escalante,Escalante 陨坑（赤道上）,赤道铁路最后一段合龙点，2100 年 7 月下旬通车庆典,"ITW p.27, 49",0.1,115.1,18
clarke,克拉克,Clarke,城镇,火星联邦（按命名推断）,3,仅地图,48.891,139.828,220.172,GoTo { Lat 48.891 Lon 139.828 HeightKm 0 },-3535,陆地,北方海,1,正典图位置（落水则吸附到岸）,wet_snap:borealis:48.165;139.655,Adamas 湾以北，Mie 陨坑一带,,p20 图,48.0,140.0,53
dao_city,道城,Dao City,城镇,混杂（按命名推断）,3,仅地图,-38.496,82.074,277.926,GoTo { Lat -38.496 Lon 82.074 HeightKm 0 },-6675,陆地,海拉斯海,696,MOLA 谷底,floor:-38.6;83.2;80,Dao 河（Dao Vallis）河口,,p20 图,-33.2,93.3,623
hellas_shore,海拉斯海沿岸聚落带,Hellas Sea rim settlements,区域,美、欧、南美为主,2,正文,-31.453,60.609,299.391,GoTo { Lat -31.453 Lon 60.609 HeightKm 0 },-6966,陆地,海拉斯海,2,真实岸线吸附,shore:hellas:N:-30;60,海拉斯海沿岸,科学家密度堪比尼克斯奥林匹卡；化石市场,"ITW p.15, 25",-28.0,74.1,723
syrtis_estates,大瑟提斯以北庄园区,Syrtis Major estates,庄园,火星百万富翁,3,正文,19.400,67.100,292.900,GoTo { Lat 19.400 Lon 67.100 HeightKm 0 },725,陆地,北方海,1406,精确坐标,point:19.4;67.1,Syrtis Major Planum 北缘,数千英亩精心造景的私人庄园，数百名仆人,ITW p.47,,,
syrtis_desert,大瑟提斯荒漠（矿区·超级坦克决斗场）,Syrtis Major desert,区域,企业 / 百万富翁,3,正文,9.201,67.103,292.897,GoTo { Lat 9.201 Lon 67.103 HeightKm 0 },402,陆地,北方海,1793,IAU 官方中心,iau:Syrtis Major Planum,Syrtis Major Planum,少数矿业公司；一年两度的超级坦克决斗,"ITW p.25, 47–48",,,
north_cap,北极冰盖（自动钻机采冰）,Planum Boreum,自然地标,—,2,正文,87.320,54.960,305.040,GoTo { Lat 87.320 Lon 54.960 HeightKm 0 },-2609,陆地,北方海,250,IAU 官方中心,iau:Planum Boreum,北极,露出北方海，一圈窄黑沙滩；预计 2110 年前融尽,ITW p.26,88.0,15.0,102
olympia_undae,奥林匹亚沙丘带,Olympia Undae,自然地标,—,3,地图,81.160,178.480,181.520,GoTo { Lat 81.160 Lon 178.480 HeightKm 0 },-4334,水上（北方海）,北方海,0,IAU 官方中心,iau:Olympia Undae,北极环带,,p19 图（误作 Olympia Planitia）,80.9,178.2,16
south_cap,南极冰盖（科研与地球化站）,Planum Australe,自然地标,—,3,正文,-83.350,157.700,202.300,GoTo { Lat -83.350 Lon 157.700 HeightKm 0 },3240,陆地,—,>1500,IAU 官方中心,iau:Planum Australe,南极,干冰只剩几百码厚；比北极高三英里,ITW p.26,-83.0,160.0,26
argyre,阿吉尔盆地（干）,Argyre Planitia,自然地标,—,3,正文,-49.841,316.690,43.310,GoTo { Lat -49.841 Lon -43.310 HeightKm 0 },-2680,陆地,—,>1500,IAU 官方中心,iau:Argyre Planitia,南半球,四周环山，降水外流，中心干燥,ITW p.26,-49.7,316.0,28
schiaparelli,斯基亚帕雷利陨坑,Schiaparelli,自然地标,—,3,—,-2.714,16.772,343.228,GoTo { Lat -2.714 Lon 16.772 HeightKm 0 },-391,陆地,—,>1500,IAU 官方中心,iau:Schiaparelli,赤道,正典的「Schiaparelli 船厂」是轨道设施，与此坑无关,—,-2.7,16.8,2
lake_tithonium,提托尼乌姆湖,Lake Tithonium,水体,—,2,正文+地图,-4.605,275.711,84.289,GoTo { Lat -4.605 Lon -84.289 HeightKm 0 },-455,陆地,水手峡谷海·Ius 段,138,IAU 官方中心,iau:Tithonium Chasma,海源城以北的「死胡同」支流,游艇与游客为主,ITW p.22,-4.6,275.5,12
lake_candor,坎多尔湖,Lake Candor,水体,—,2,正文+地图,-6.234,289.092,70.908,GoTo { Lat -6.234 Lon -70.908 HeightKm 0 },-3276,陆地,水手峡谷海·中段,5,水体质心,centroid:marineris_mid:-8.0;-3.0;284.5;296.0,水手峡谷海北支（湖心取水面质心，IAU 中心落在 Candor Mensa 台地上）,,ITW p.23,-6.5,284.5,271
lake_eos,厄俄斯湖,Lake Eos,水体,—,2,正文+地图,-15.044,316.159,43.841,GoTo { Lat -15.044 Lon -43.841 HeightKm 0 },-3022,陆地,厄俄斯湖,3,水体质心,centroid:marineris_eos,水手峡谷海东端,,ITW p.24,-12.0,313.5,237
hebes_lake,赫柏湖（Hebes Chasma）,Hebes Chasma,水体,—,3,仅地图,-1.112,284.066,75.934,GoTo { Lat -1.112 Lon -75.934 HeightKm 0 },2047,陆地,水手峡谷海·中段,60,水体质心,centroid:marineris_mid:-2.2;0.2;281.4;286.7,水手峡谷以北的封闭峡谷（湖心取水面质心）,,p22 图（误作 Herbes）,-1.1,283.5,34
mutch_lake,Mutch 陨坑湖,Mutch Crater lake,水体,—,3,仅地图,0.595,304.793,55.207,GoTo { Lat 0.595 Lon -55.207 HeightKm 0 },533,水上（Mutch 陨坑湖）,Mutch 陨坑湖,0,IAU 官方中心,iau:Mutch,赞西高地,,p22 图,0.6,304.7,6
gangis,恒河（Gangis River）,Ganges Chasma,水体,—,3,仅地图,-7.955,312.115,47.885,GoTo { Lat -7.955 Lon -47.885 HeightKm 0 },-3532,陆地,水手峡谷海·中段,237,IAU 官方中心,iau:Ganges Chasma,流向 Capri 的河谷,,p22 图（Gangis River）,-7.6,313.0,56
echus_river,Echus 河,Echus Chasma,水体,—,3,仅地图,2.472,280.038,79.962,GoTo { Lat 2.472 Lon -79.962 HeightKm 0 },-822,陆地,水手峡谷海·中段,216,IAU 官方中心,iau:Echus Chasma,Lunae Planum 西缘,,p19 图,10.0,278.0,462
noctis,诺克提斯迷宫,Noctis Labyrinthus,自然地标,—,2,正文+地图,-6.363,258.811,101.189,GoTo { Lat -6.363 Lon -101.189 HeightKm 0 },6954,陆地,水手峡谷海·Ius 段,973,IAU 官方中心,iau:Noctis Labyrinthus,塔西斯东坡,峡谷高于海面，湿谷青翠、散布中国栖息地,ITW p.22,-6.5,258.3,31
